fname,train0/test1
Y--7jZxfzemI_13.000_23.000.wav,0
Y--L22BmDI6E_12.000_22.000.wav,0
Y--L9-DQKtlk_250.000_260.000.wav,0
Y--sIMPsphRI_10.000_20.000.wav,0
Y-0RUcq5tkNU_60.000_70.000.wav,0
Y-1TeQpwlZGs_9.000_19.000.wav,0
Y-1UleAsNU_4_30.000_40.000.wav,0
Y-24cKdvEPHs_20.000_30.000.wav,0
Y-2FVPRdbLdA_10.000_20.000.wav,0
Y-2XABjjB1tU_110.000_120.000.wav,0
Y-37X0bRVT0g_140.000_150.000.wav,0
Y-3G-bs5JaW8_100.000_110.000.wav,0
Y-3L1zkUbHt8_21.000_31.000.wav,0
Y-3WtffZs4rk_30.000_40.000.wav,0
Y-3cmXbOJOoc_30.000_40.000.wav,0
Y-3k1Xl7eriw_140.000_150.000.wav,0
Y-4H1EUXNl5s_30.000_40.000.wav,0
Y-4ROHZMW7t0_5.000_15.000.wav,0
Y-4ZFguO-v8M_50.000_60.000.wav,0
Y-4i49rWLl1o_20.000_30.000.wav,0
Y-4oBn8qurR4_25.000_35.000.wav,0
Y-5IoPSM59xM_9.000_19.000.wav,0
Y-5SglSseBko_180.000_190.000.wav,0
Y-5rnGk2e1ao_0.000_10.000.wav,0
Y-64ZmjOBlE8_20.000_30.000.wav,0
Y-6XpcYja_QQ_210.000_220.000.wav,0
Y-6n82E5zyuY_70.000_80.000.wav,0
Y-6p32k2WUCs_0.000_10.000.wav,0
Y-7T1vQ2CgdQ_10.000_20.000.wav,0
Y-7Y8Cmjdvuk_20.000_30.000.wav,0
Y-7khzUmnlm8_30.000_40.000.wav,0
Y-7v9JCLrISM_210.000_220.000.wav,0
Y-8kh4JEvkzw_0.000_10.000.wav,0
Y-8myqx-cnlc_500.000_510.000.wav,0
Y-9OUFFMZTuk_50.000_60.000.wav,0
Y-9P1IlNEgsM_0.000_8.000.wav,0
Y-9YohOxYZ0Q_10.000_20.000.wav,0
Y-A1G9vEhK58_20.000_30.000.wav,0
Y-BEt_WLaM_8_30.000_40.000.wav,0
Y-BvlRNfCz1w_50.000_60.000.wav,0
Y-CEC5RoRUbU_30.000_40.000.wav,0
Y-DlHUJC4NuM_16.000_26.000.wav,0
Y-Dqd4YgZL0k_30.000_40.000.wav,0
Y-EDRNpIlIwo_480.000_490.000.wav,0
Y-EM6qEqk_H0_10.000_20.000.wav,0
Y-EvFB12zCk8_30.000_40.000.wav,0
Y-F6GfPwjLWo_30.000_40.000.wav,0
Y-GFJt6U-eE8_340.000_350.000.wav,0
Y-GQtDyZq5y4_30.000_40.000.wav,0
Y-H8nh3Z1__M_170.000_180.000.wav,0
Y-HBR6wrrhAs_0.000_10.000.wav,0
Y-HLkaa5GCFg_20.000_30.000.wav,0
Y-HnhPxiYLLU_0.000_9.000.wav,0
Y-HyhSn6rU8A_100.000_110.000.wav,0
Y-IHE1hhdtek_30.000_40.000.wav,0
Y-Io461is8Ko_120.000_130.000.wav,0
Y-Its_5qrHs8_30.000_40.000.wav,0
Y-JP_MEol_8I_60.000_70.000.wav,0
Y-JlAIil9iSE_8.000_18.000.wav,0
Y-Jnns0s8q2g_22.000_32.000.wav,0
Y-K0wP_zCTvA_30.000_40.000.wav,0
Y-KrDQXnlXRw_10.000_20.000.wav,0
Y-KzCxE1X5j0_30.000_40.000.wav,0
Y-L46ZLyp9R0_30.000_40.000.wav,0
Y-LWu_lirwKk_0.000_10.000.wav,0
Y-LnYUCuNUuI_20.000_30.000.wav,0
Y-LqG7GIW8UQ_110.000_120.000.wav,0
Y-N7Qwe8goRc_20.000_30.000.wav,0
Y-NEAWkNvWvs_170.000_180.000.wav,0
Y-NW2pPAToFM_0.000_10.000.wav,0
Y-Nsu5Dm73Xw_0.000_10.000.wav,0
Y-O-s44NpuEo_30.000_40.000.wav,0
Y-OYEgBWbvr4_0.000_10.000.wav,0
Y-Owu1H-JG9w_410.000_420.000.wav,0
Y-PIv8H-fn5U_50.000_60.000.wav,0
Y-PWc49x8cyE_30.000_40.000.wav,0
Y-PfTYmixaVM_170.000_180.000.wav,0
Y-PxusaPCH98_30.000_40.000.wav,0
Y-QSTEXFuNZs_0.000_10.000.wav,0
Y-QhqFtXZ7NA_30.000_40.000.wav,0
Y-R47b72sQLU_4.000_14.000.wav,0
Y-R5D2ee48uQ_21.000_31.000.wav,0
Y-RIXNh-i88E_30.000_40.000.wav,0
Y-SL5sFIuhtg_30.000_40.000.wav,0
Y-SPr6nTlav0_170.000_180.000.wav,0
Y-SxC_hWxr8E_80.000_90.000.wav,0
Y-T5KPWf0llU_110.000_120.000.wav,0
Y-T9PDWg_EeU_30.000_40.000.wav,0
Y-T9mK2krm2w_30.000_40.000.wav,0
Y-TDsXxTaw2Q_520.000_530.000.wav,0
Y-TSQj52I1PQ_260.000_270.000.wav,0
Y-UIDQgPMztE_30.000_40.000.wav,0
Y-UubaEEMA4Q_30.000_40.000.wav,0
Y-UxlFmoVuPo_30.000_40.000.wav,0
Y-VG70q026Bw_30.000_40.000.wav,0
Y-VPoLzHsw1s_30.000_40.000.wav,0
Y-VV6dIcGmwI_0.000_10.000.wav,0
Y-VbuWn-f52s_30.000_40.000.wav,0
Y-Vo3XijOlvc_70.000_80.000.wav,0
Y-W0tpODVUfQ_30.000_40.000.wav,0
Y-WEfNbZO_LE_130.000_140.000.wav,0
Y-WelAtqGj1E_60.000_70.000.wav,0
Y-XLzWTb3sUg_30.000_40.000.wav,0
Y-Y2x_3lyCqY_10.000_20.000.wav,0
Y-YEkSU7gXLw_30.000_40.000.wav,0
Y-YLpD1UW8qU_0.000_10.000.wav,0
Y-YkIP4iqElA_10.000_20.000.wav,0
Y-Z0yjRccfSY_17.000_27.000.wav,0
Y-ZBKA57bVj8_20.000_30.000.wav,0
Y-ZFt9Uzz6Bc_410.000_420.000.wav,0
Y-ZZ16CynYAU_40.000_50.000.wav,0
Y-ZdP1MF8bIw_10.000_20.000.wav,0
Y-ZgUXgJn4U0_0.000_10.000.wav,0
Y-Zjgm_sZd10_0.000_4.000.wav,0
Y-_A4yJmxFdM_30.000_40.000.wav,0
Y-_EXFasQQb8_10.000_20.000.wav,0
Y-_OktjRkoSk_110.000_120.000.wav,0
Y-_SpAZLpoWw_130.000_140.000.wav,0
Y-_UM0h1qcBM_40.000_50.000.wav,0
Y-_YEMHrl2QI_2.000_12.000.wav,0
Y-aHF0scCGc4_470.000_480.000.wav,0
Y-aI2lItV7zE_100.000_110.000.wav,0
Y-akpZs0cx68_30.000_40.000.wav,0
Y-bWroS6KQj4_26.000_36.000.wav,0
